INSPECTION_NUMBER|ESTABLISHMENT_NAME|CITY|STATE|ZIP_CODE|SIC_CODE|NAICS_CODE|SAMPLING_NUMBER|OFFICE_ID|DATE_SAMPLED|DATE_REPORTED|EIGHT_HR_TWA_CALC|LAB_NUMBER|FIELD_NUMBER|SAMPLE_TYPE|BLANK_SAMPLE|TIME_SAMPLED|AIR_VOLUME_SAMPLED|SAMPLE_WEIGHT|IMIS_SUBSTANCE_CODE|SUBSTANCE|SAMPLE_RESULT|UNIT_OF_MEASUREMENT|QUALIFIER
1787543|Ribbon Technology Corporation| GAHANNA|OH|43230||331110|463328|522500|2025-Jan-06|2025-Jan-14|N|F53132|4|P|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1787543|Ribbon Technology Corporation| GAHANNA|OH|43230||331110|463328|522500|2025-Jan-06|2025-Jan-14|N|F53131|3|P|N|338|676||0689|Chromium (VI) - TWA|0.000139|M|
1787543|Ribbon Technology Corporation| GAHANNA|OH|43230||331110|463327|522500|2025-Jan-06|2025-Jan-14|N|F53130|1|P|N|446|892||0689|Chromium (VI) - TWA|0.000174|M|
1795307|M.S.D. Star Welding & Fabrication. LLC| ORANGE PARK|FL|32073||332999|463510|419700|2025-Jan-08|2025-Jan-14|N|F53154|MSD01|P|N|8|16||0689|Chromium (VI) - TWA|0|M|ND
1795307|M.S.D. Star Welding & Fabrication. LLC| ORANGE PARK|FL|32073||332999|463510|419700|2025-Jan-08|2025-Jan-14|N|F53155|MSDB|P|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1796395|Hercules Utility Construction, LLC| SANGER|TX|76266||237130|463470|636900|2025-Jan-06|2025-Jan-21|N|F53127|2|B|N||||S777|Soil|0|N|
1796395|Hercules Utility Construction, LLC| SANGER|TX|76266||237130|463470|636900|2025-Jan-06|2025-Jan-21|N|F53126|1|B|N||||S777|Soil|0|N|
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463727|728500|2025-Jan-14|2025-Jan-23|N|F53187|BLANK1|P|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463722|728500|2025-Jan-14|2025-Jan-23|N|F53183|TEASLEY2|P|N|148|296||0689|Chromium (VI) - TWA|0|M|ND
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463722|728500|2025-Jan-14|2025-Jan-23|N|F53184|TEASLEY1|P|N|342|684||0689|Chromium (VI) - TWA|0|M|ND
